Pixel: 99, Probabilidad: 0.002304, Bits: 7
Pixel: 100, Probabilidad: 0.002130, Bits: 7
Pixel: 101, Probabilidad: 0.002073, Bits: 7
Pixel: 104, Probabilidad: 0.002050, Bits: 7
Pixel: 102, Probabilidad: 0.002038, Bits: 7
Pixel: 103, Probabilidad: 0.002020, Bits: 7
Pixel: 105, Probabilidad: 0.001985, Bits: 7
Pixel: 107, Probabilidad: 0.001914, Bits: 7
Pixel: 106, Probabilidad: 0.001852, Bits: 7
Pixel: 109, Probabilidad: 0.001763, Bits: 7
Pixel: 108, Probabilidad: 0.001716, Bits: 7
Pixel: 111, Probabilidad: 0.001657, Bits: 7
Pixel: 112, Probabilidad: 0.001654, Bits: 7
Pixel: 110, Probabilidad: 0.001619, Bits: 7
Pixel: 113, Probabilidad: 0.001530, Bits: 7
Pixel: 114, Probabilidad: 0.001518, Bits: 7
Pixel: 115, Probabilidad: 0.001498, Bits: 7
Pixel: 116, Probabilidad: 0.001486, Bits: 7
Pixel: 118, Probabilidad: 0.001483, Bits: 7
Pixel: 119, Probabilidad: 0.001400, Bits: 7
Pixel: 117, Probabilidad: 0.001344, Bits: 7
Pixel: 122, Probabilidad: 0.001282, Bits: 7
Pixel: 124, Probabilidad: 0.001232, Bits: 7
Pixel: 123, Probabilidad: 0.001173, Bits: 7
Pixel: 121, Probabilidad: 0.001149, Bits: 7
Pixel: 120, Probabilidad: 0.001134, Bits: 7
Pixel: 125, Probabilidad: 0.001066, Bits: 7
Pixel: 126, Probabilidad: 0.001066, Bits: 7
Pixel: 131, Probabilidad: 0.001060, Bits: 8
Pixel: 130, Probabilidad: 0.001054, Bits: 8
Pixel: 127, Probabilidad: 0.001052, Bits: 7
Pixel: 129, Probabilidad: 0.001040, Bits: 8
Pixel: 128, Probabilidad: 0.000975, Bits: 7
Pixel: 136, Probabilidad: 0.000927, Bits: 8
Pixel: 135, Probabilidad: 0.000904, Bits: 8
Pixel: 132, Probabilidad: 0.000895, Bits: 8
Pixel: 133, Probabilidad: 0.000865, Bits: 8
Pixel: 139, Probabilidad: 0.000857, Bits: 8
Pixel: 142, Probabilidad: 0.000851, Bits: 8
Pixel: 134, Probabilidad: 0.000833, Bits: 8
Pixel: 144, Probabilidad: 0.000833, Bits: 8
Pixel: 141, Probabilidad: 0.000797, Bits: 8
Pixel: 140, Probabilidad: 0.000780, Bits: 8
Pixel: 138, Probabilidad: 0.000771, Bits: 8
Pixel: 254, Probabilidad: 0.000771, Bits: 8
Pixel: 137, Probabilidad: 0.000762, Bits: 8
Pixel: 145, Probabilidad: 0.000738, Bits: 8
Pixel: 147, Probabilidad: 0.000718, Bits: 8
Pixel: 143, Probabilidad: 0.000682, Bits: 8
Pixel: 148, Probabilidad: 0.000662, Bits: 8
Pixel: 162, Probabilidad: 0.000653, Bits: 8
Pixel: 151, Probabilidad: 0.000647, Bits: 8
Pixel: 152, Probabilidad: 0.000626, Bits: 8
Pixel: 146, Probabilidad: 0.000620, Bits: 8
Pixel: 149, Probabilidad: 0.000617, Bits: 8
Pixel: 154, Probabilidad: 0.000614, Bits: 8
Pixel: 156, Probabilidad: 0.000611, Bits: 8
Pixel: 153, Probabilidad: 0.000576, Bits: 8
Pixel: 150, Probabilidad: 0.000570, Bits: 8
Pixel: 155, Probabilidad: 0.000564, Bits: 8
Pixel: 161, Probabilidad: 0.000564, Bits: 8
Pixel: 157, Probabilidad: 0.000555, Bits: 8
Pixel: 160, Probabilidad: 0.000546, Bits: 8
Pixel: 251, Probabilidad: 0.000543, Bits: 8
Pixel: 252, Probabilidad: 0.000543, Bits: 8
Pixel: 158, Probabilidad: 0.000535, Bits: 8
Pixel: 159, Probabilidad: 0.000520, Bits: 8
Pixel: 165, Probabilidad: 0.000517, Bits: 8
Pixel: 164, Probabilidad: 0.000493, Bits: 8
Pixel: 166, Probabilidad: 0.000467, Bits: 8
Pixel: 169, Probabilidad: 0.000464, Bits: 8
Pixel: 173, Probabilidad: 0.000461, Bits: 8
Pixel: 172, Probabilidad: 0.000455, Bits: 8
Pixel: 163, Probabilidad: 0.000443, Bits: 8
Pixel: 168, Probabilidad: 0.000443, Bits: 8
Pixel: 171, Probabilidad: 0.000440, Bits: 8
Pixel: 175, Probabilidad: 0.000422, Bits: 8
Pixel: 167, Probabilidad: 0.000416, Bits: 8
Pixel: 170, Probabilidad: 0.000408, Bits: 8
Pixel: 174, Probabilidad: 0.000393, Bits: 8
Pixel: 176, Probabilidad: 0.000390, Bits: 8
Pixel: 177, Probabilidad: 0.000387, Bits: 8
Pixel: 178, Probabilidad: 0.000381, Bits: 8
Pixel: 181, Probabilidad: 0.000378, Bits: 8
Pixel: 255, Probabilidad: 0.000363, Bits: 8
Pixel: 253, Probabilidad: 0.000360, Bits: 8
Pixel: 250, Probabilidad: 0.000357, Bits: 8
Pixel: 179, Probabilidad: 0.000340, Bits: 8
Pixel: 180, Probabilidad: 0.000340, Bits: 8
Pixel: 185, Probabilidad: 0.000334, Bits: 8
Pixel: 249, Probabilidad: 0.000319, Bits: 8
Pixel: 186, Probabilidad: 0.000316, Bits: 8
Pixel: 182, Probabilidad: 0.000313, Bits: 8
Pixel: 191, Probabilidad: 0.000307, Bits: 8
Pixel: 189, Probabilidad: 0.000304, Bits: 8
Pixel: 188, Probabilidad: 0.000298, Bits: 8
Pixel: 187, Probabilidad: 0.000292, Bits: 8
Pixel: -1, Probabilidad: 0.000289, Bits: 0
Pixel: 193, Probabilidad: 0.000278, Bits: 8
Pixel: 200, Probabilidad: 0.000272, Bits: 8
Pixel: 194, Probabilidad: 0.000266, Bits: 8
Pixel: 202, Probabilidad: 0.000266, Bits: 8
Pixel: 192, Probabilidad: 0.000263, Bits: 8
Pixel: 213, Probabilidad: 0.000263, Bits: 8
Pixel: 246, Probabilidad: 0.000260, Bits: 8
Pixel: 183, Probabilidad: 0.000257, Bits: 8
Pixel: 184, Probabilidad: 0.000254, Bits: 8
Pixel: 204, Probabilidad: 0.000254, Bits: 8
Pixel: 198, Probabilidad: 0.000251, Bits: 8
Pixel: 203, Probabilidad: 0.000242, Bits: 8
Pixel: 216, Probabilidad: 0.000242, Bits: 8
Pixel: 190, Probabilidad: 0.000236, Bits: 8
Pixel: 201, Probabilidad: 0.000236, Bits: 8
Pixel: 211, Probabilidad: 0.000233, Bits: 8
Pixel: 197, Probabilidad: 0.000230, Bits: 8
Pixel: 217, Probabilidad: 0.000230, Bits: 8
Pixel: 219, Probabilidad: 0.000227, Bits: 8
Pixel: 233, Probabilidad: 0.000227, Bits: 8
Pixel: 234, Probabilidad: 0.000227, Bits: 8
Pixel: 244, Probabilidad: 0.000227, Bits: 8
Pixel: 248, Probabilidad: 0.000224, Bits: 8
Pixel: 199, Probabilidad: 0.000222, Bits: 8
Pixel: 214, Probabilidad: 0.000222, Bits: 8
Pixel: 196, Probabilidad: 0.000219, Bits: 8
Pixel: 209, Probabilidad: 0.000219, Bits: 8
Pixel: 230, Probabilidad: 0.000219, Bits: 8
Pixel: 195, Probabilidad: 0.000216, Bits: 8
Pixel: 247, Probabilidad: 0.000216, Bits: 8
Pixel: 220, Probabilidad: 0.000210, Bits: 8
Pixel: 241, Probabilidad: 0.000210, Bits: 8
Pixel: 243, Probabilidad: 0.000210, Bits: 8
Pixel: 206, Probabilidad: 0.000207, Bits: 8
Pixel: 207, Probabilidad: 0.000207, Bits: 8
Pixel: 236, Probabilidad: 0.000207, Bits: 8
Pixel: 242, Probabilidad: 0.000207, Bits: 8
Pixel: 245, Probabilidad: 0.000207, Bits: 8
Pixel: 212, Probabilidad: 0.000201, Bits: 8
Pixel: 231, Probabilidad: 0.000201, Bits: 8
Pixel: 215, Probabilidad: 0.000198, Bits: 8
Pixel: 239, Probabilidad: 0.000198, Bits: 8
Pixel: 205, Probabilidad: 0.000195, Bits: 8
Pixel: 208, Probabilidad: 0.000195, Bits: 8
Pixel: 210, Probabilidad: 0.000195, Bits: 8
Pixel: 223, Probabilidad: 0.000195, Bits: 8
Pixel: 228, Probabilidad: 0.000195, Bits: 8
Pixel: 237, Probabilidad: 0.000195, Bits: 8
Pixel: 229, Probabilidad: 0.000192, Bits: 8
Pixel: 232, Probabilidad: 0.000189, Bits: 8
Pixel: 227, Probabilidad: 0.000183, Bits: 8
Pixel: 221, Probabilidad: 0.000180, Bits: 8
Pixel: 224, Probabilidad: 0.000180, Bits: 8
Pixel: 240, Probabilidad: 0.000180, Bits: 8
Pixel: 218, Probabilidad: 0.000168, Bits: 8
Pixel: 238, Probabilidad: 0.000162, Bits: 8
Pixel: 226, Probabilidad: 0.000159, Bits: 8
Pixel: 222, Probabilidad: 0.000154, Bits: 8

Después de sumar, las probabilidades ordenadas son:
Pixel: 20, Probabilidad: 0.023387, Bits: 5
Pixel: 21, Probabilidad: 0.023169, Bits: 5
Pixel: 18, Probabilidad: 0.022968, Bits: 5
Pixel: 22, Probabilidad: 0.022383, Bits: 5
Pixel: 19, Probabilidad: 0.022203, Bits: 5
Pixel: 17, Probabilidad: 0.022026, Bits: 5
Pixel: 23, Probabilidad: 0.019822, Bits: 5
Pixel: 16, Probabilidad: 0.019556, Bits: 4
Pixel: 24, Probabilidad: 0.019279, Bits: 5
Pixel: 13, Probabilidad: 0.018009, Bits: 4
Pixel: 14, Probabilidad: 0.017761, Bits: 4
Pixel: 15, Probabilidad: 0.017335, Bits: 4
Pixel: 25, Probabilidad: 0.017241, Bits: 5
Pixel: 10, Probabilidad: 0.017114, Bits: 4
Pixel: 7, Probabilidad: 0.017043, Bits: 3
Pixel: 12, Probabilidad: 0.016609, Bits: 4
Pixel: 9, Probabilidad: 0.016154, Bits: 4
Pixel: 26, Probabilidad: 0.015844, Bits: 5
Pixel: 27, Probabilidad: 0.015740, Bits: 5
Pixel: 8, Probabilidad: 0.015587, Bits: 3
Pixel: 11, Probabilidad: 0.015055, Bits: 4
Pixel: 6, Probabilidad: 0.014638, Bits: 3
Pixel: 28, Probabilidad: 0.014535, Bits: 5
Pixel: 29, Probabilidad: 0.014352, Bits: 5
Pixel: 30, Probabilidad: 0.014065, Bits: 5
Pixel: 32, Probabilidad: 0.013489, Bits: 5
Pixel: 31, Probabilidad: 0.013413, Bits: 5
Pixel: 33, Probabilidad: 0.012825, Bits: 6
Pixel: 34, Probabilidad: 0.012027, Bits: 6
Pixel: 35, Probabilidad: 0.011301, Bits: 6
Pixel: 36, Probabilidad: 0.010935, Bits: 6
Pixel: 38, Probabilidad: 0.010273, Bits: 6
Pixel: 37, Probabilidad: 0.010235, Bits: 6
Pixel: 39, Probabilidad: 0.009470, Bits: 6
Pixel: 40, Probabilidad: 0.009343, Bits: 6
Pixel: 5, Probabilidad: 0.009254, Bits: 3
Pixel: 41, Probabilidad: 0.009142, Bits: 6
Pixel: 42, Probabilidad: 0.009133, Bits: 6
Pixel: 1, Probabilidad: 0.008961, Bits: 0
Pixel: 43, Probabilidad: 0.008834, Bits: 6
Pixel: 44, Probabilidad: 0.008164, Bits: 6
Pixel: 2, Probabilidad: 0.008007, Bits: 1
Pixel: 4, Probabilidad: 0.007966, Bits: 2
Pixel: 45, Probabilidad: 0.007922, Bits: 6
Pixel: 46, Probabilidad: 0.007665, Bits: 6
Pixel: 47, Probabilidad: 0.007426, Bits: 6
Pixel: 48, Probabilidad: 0.007225, Bits: 6
Pixel: 3, Probabilidad: 0.006808, Bits: 2
Pixel: 49, Probabilidad: 0.006761, Bits: 6
Pixel: 50, Probabilidad: 0.006610, Bits: 6
Pixel: 52, Probabilidad: 0.006539, Bits: 6
Pixel: 51, Probabilidad: 0.006531, Bits: 6
Pixel: 55, Probabilidad: 0.006377, Bits: 6
Pixel: 56, Probabilidad: 0.006282, Bits: 6
Pixel: 57, Probabilidad: 0.006232, Bits: 6
Pixel: 53, Probabilidad: 0.006223, Bits: 6
Pixel: 0, Probabilidad: 0.006191, Bits: -Inf
Pixel: 54, Probabilidad: 0.006135, Bits: 6
Pixel: 58, Probabilidad: 0.005943, Bits: 6
Pixel: 59, Probabilidad: 0.005831, Bits: 6
Pixel: 61, Probabilidad: 0.005721, Bits: 6
Pixel: 60, Probabilidad: 0.005656, Bits: 6
Pixel: 65, Probabilidad: 0.005653, Bits: 7
Pixel: 63, Probabilidad: 0.005547, Bits: 6
Pixel: 62, Probabilidad: 0.005458, Bits: 6
Pixel: 64, Probabilidad: 0.005441, Bits: 6
Pixel: 66, Probabilidad: 0.005435, Bits: 7
Pixel: 67, Probabilidad: 0.005290, Bits: 7
Pixel: 68, Probabilidad: 0.005178, Bits: 7
Pixel: 69, Probabilidad: 0.005119, Bits: 7
Pixel: 70, Probabilidad: 0.004998, Bits: 7
Pixel: 71, Probabilidad: 0.004812, Bits: 7
Pixel: 73, Probabilidad: 0.004525, Bits: 7
Pixel: 72, Probabilidad: 0.004493, Bits: 7
Pixel: 79, Probabilidad: 0.004085, Bits: 7
Pixel: 76, Probabilidad: 0.004079, Bits: 7
Pixel: 74, Probabilidad: 0.004005, Bits: 7
Pixel: 77, Probabilidad: 0.004005, Bits: 7
Pixel: 75, Probabilidad: 0.003881, Bits: 7
Pixel: 78, Probabilidad: 0.003840, Bits: 7
Pixel: 81, Probabilidad: 0.003822, Bits: 7
Pixel: 80, Probabilidad: 0.003680, Bits: 7
Pixel: 82, Probabilidad: 0.003592, Bits: 7
Pixel: 84, Probabilidad: 0.003450, Bits: 7
Pixel: 83, Probabilidad: 0.003406, Bits: 7
Pixel: 86, Probabilidad: 0.003332, Bits: 7
Pixel: 88, Probabilidad: 0.003202, Bits: 7
Pixel: 87, Probabilidad: 0.003113, Bits: 7
Pixel: 85, Probabilidad: 0.003075, Bits: 7
Pixel: 89, Probabilidad: 0.002974, Bits: 7
Pixel: 90, Probabilidad: 0.002936, Bits: 7
Pixel: 91, Probabilidad: 0.002862, Bits: 7
Pixel: 93, Probabilidad: 0.002673, Bits: 7
Pixel: 94, Probabilidad: 0.002658, Bits: 7
Pixel: 92, Probabilidad: 0.002546, Bits: 7
Pixel: 95, Probabilidad: 0.002528, Bits: 7
Pixel: 96, Probabilidad: 0.002455, Bits: 7
Pixel: 98, Probabilidad: 0.002443, Bits: 7
Pixel: 97, Probabilidad: 0.002351, Bits: 7
Pixel: 99, Probabilidad: 0.002304, Bits: 7
Pixel: 100, Probabilidad: 0.002130, Bits: 7
Pixel: 101, Probabilidad: 0.002073, Bits: 7
Pixel: 104, Probabilidad: 0.002050, Bits: 7
Pixel: 102, Probabilidad: 0.002038, Bits: 7
Pixel: 103, Probabilidad: 0.002020, Bits: 7
Pixel: 105, Probabilidad: 0.001985, Bits: 7
Pixel: 107, Probabilidad: 0.001914, Bits: 7
Pixel: 106, Probabilidad: 0.001852, Bits: 7
Pixel: 109, Probabilidad: 0.001763, Bits: 7
Pixel: 108, Probabilidad: 0.001716, Bits: 7
Pixel: 111, Probabilidad: 0.001657, Bits: 7
Pixel: 112, Probabilidad: 0.001654, Bits: 7
Pixel: 110, Probabilidad: 0.001619, Bits: 7
Pixel: 113, Probabilidad: 0.001530, Bits: 7
Pixel: 114, Probabilidad: 0.001518, Bits: 7
Pixel: 115, Probabilidad: 0.001498, Bits: 7
Pixel: 116, Probabilidad: 0.001486, Bits: 7
Pixel: 118, Probabilidad: 0.001483, Bits: 7
Pixel: 119, Probabilidad: 0.001400, Bits: 7
Pixel: 117, Probabilidad: 0.001344, Bits: 7
Pixel: 122, Probabilidad: 0.001282, Bits: 7
Pixel: 124, Probabilidad: 0.001232, Bits: 7
Pixel: 123, Probabilidad: 0.001173, Bits: 7
Pixel: 121, Probabilidad: 0.001149, Bits: 7
Pixel: 120, Probabilidad: 0.001134, Bits: 7
Pixel: 125, Probabilidad: 0.001066, Bits: 7
Pixel: 126, Probabilidad: 0.001066, Bits: 7
Pixel: 131, Probabilidad: 0.001060, Bits: 8
Pixel: 130, Probabilidad: 0.001054, Bits: 8
Pixel: 127, Probabilidad: 0.001052, Bits: 7
Pixel: 129, Probabilidad: 0.001040, Bits: 8
Pixel: 128, Probabilidad: 0.000975, Bits: 7
Pixel: 136, Probabilidad: 0.000927, Bits: 8
Pixel: 135, Probabilidad: 0.000904, Bits: 8
Pixel: 132, Probabilidad: 0.000895, Bits: 8
Pixel: 133, Probabilidad: 0.000865, Bits: 8
Pixel: 139, Probabilidad: 0.000857, Bits: 8
Pixel: 142, Probabilidad: 0.000851, Bits: 8
Pixel: 134, Probabilidad: 0.000833, Bits: 8
Pixel: 144, Probabilidad: 0.000833, Bits: 8
Pixel: 141, Probabilidad: 0.000797, Bits: 8
Pixel: 140, Probabilidad: 0.000780, Bits: 8
Pixel: 138, Probabilidad: 0.000771, Bits: 8
Pixel: 254, Probabilidad: 0.000771, Bits: 8
Pixel: 137, Probabilidad: 0.000762, Bits: 8
Pixel: 145, Probabilidad: 0.000738, Bits: 8
Pixel: 147, Probabilidad: 0.000718, Bits: 8
Pixel: 143, Probabilidad: 0.000682, Bits: 8
Pixel: 148, Probabilidad: 0.000662, Bits: 8
Pixel: 162, Probabilidad: 0.000653, Bits: 8
Pixel: 151, Probabilidad: 0.000647, Bits: 8
Pixel: 152, Probabilidad: 0.000626, Bits: 8
Pixel: 146, Probabilidad: 0.000620, Bits: 8
Pixel: 149, Probabilidad: 0.000617, Bits: 8
Pixel: 154, Probabilidad: 0.000614, Bits: 8
Pixel: 156, Probabilidad: 0.000611, Bits: 8
Pixel: 153, Probabilidad: 0.000576, Bits: 8
Pixel: 150, Probabilidad: 0.000570, Bits: 8
Pixel: 155, Probabilidad: 0.000564, Bits: 8
Pixel: 161, Probabilidad: 0.000564, Bits: 8
Pixel: 157, Probabilidad: 0.000555, Bits: 8
Pixel: 160, Probabilidad: 0.000546, Bits: 8
Pixel: 251, Probabilidad: 0.000543, Bits: 8
Pixel: 252, Probabilidad: 0.000543, Bits: 8
Pixel: 158, Probabilidad: 0.000535, Bits: 8
Pixel: 159, Probabilidad: 0.000520, Bits: 8
Pixel: 165, Probabilidad: 0.000517, Bits: 8
Pixel: 164, Probabilidad: 0.000493, Bits: 8
Pixel: 166, Probabilidad: 0.000467, Bits: 8
Pixel: 169, Probabilidad: 0.000464, Bits: 8
Pixel: 173, Probabilidad: 0.000461, Bits: 8
Pixel: 172, Probabilidad: 0.000455, Bits: 8
Pixel: 163, Probabilidad: 0.000443, Bits: 8
Pixel: 168, Probabilidad: 0.000443, Bits: 8
Pixel: 171, Probabilidad: 0.000440, Bits: 8
Pixel: 175, Probabilidad: 0.000422, Bits: 8
Pixel: 167, Probabilidad: 0.000416, Bits: 8
Pixel: 170, Probabilidad: 0.000408, Bits: 8
Pixel: 174, Probabilidad: 0.000393, Bits: 8
Pixel: 176, Probabilidad: 0.000390, Bits: 8
Pixel: 177, Probabilidad: 0.000387, Bits: 8
Pixel: 178, Probabilidad: 0.000381, Bits: 8
Pixel: 181, Probabilidad: 0.000378, Bits: 8
Pixel: 255, Probabilidad: 0.000363, Bits: 8
Pixel: 253, Probabilidad: 0.000360, Bits: 8
Pixel: 250, Probabilidad: 0.000357, Bits: 8
Pixel: 179, Probabilidad: 0.000340, Bits: 8
Pixel: 180, Probabilidad: 0.000340, Bits: 8
Pixel: 185, Probabilidad: 0.000334, Bits: 8
Pixel: 249, Probabilidad: 0.000319, Bits: 8
Pixel: 186, Probabilidad: 0.000316, Bits: 8
Pixel: 182, Probabilidad: 0.000313, Bits: 8
Pixel: -1, Probabilidad: 0.000313, Bits: 0
Pixel: 191, Probabilidad: 0.000307, Bits: 8
Pixel: 189, Probabilidad: 0.000304, Bits: 8
Pixel: 188, Probabilidad: 0.000298, Bits: 8
Pixel: 187, Probabilidad: 0.000292, Bits: 8
Pixel: -1, Probabilidad: 0.000289, Bits: 0
Pixel: 193, Probabilidad: 0.000278, Bits: 8
Pixel: 200, Probabilidad: 0.000272, Bits: 8
Pixel: 194, Probabilidad: 0.000266, Bits: 8
Pixel: 202, Probabilidad: 0.000266, Bits: 8
Pixel: 192, Probabilidad: 0.000263, Bits: 8
Pixel: 213, Probabilidad: 0.000263, Bits: 8
Pixel: 246, Probabilidad: 0.000260, Bits: 8
Pixel: 183, Probabilidad: 0.000257, Bits: 8
Pixel: 184, Probabilidad: 0.000254, Bits: 8
Pixel: 204, Probabilidad: 0.000254, Bits: 8
Pixel: 198, Probabilidad: 0.000251, Bits: 8
Pixel: 203, Probabilidad: 0.000242, Bits: 8
Pixel: 216, Probabilidad: 0.000242, Bits: 8
Pixel: 190, Probabilidad: 0.000236, Bits: 8
Pixel: 201, Probabilidad: 0.000236, Bits: 8
Pixel: 211, Probabilidad: 0.000233, Bits: 8
Pixel: 197, Probabilidad: 0.000230, Bits: 8
Pixel: 217, Probabilidad: 0.000230, Bits: 8
Pixel: 219, Probabilidad: 0.000227, Bits: 8
Pixel: 233, Probabilidad: 0.000227, Bits: 8
Pixel: 234, Probabilidad: 0.000227, Bits: 8
Pixel: 244, Probabilidad: 0.000227, Bits: 8
Pixel: 248, Probabilidad: 0.000224, Bits: 8
Pixel: 199, Probabilidad: 0.000222, Bits: 8
Pixel: 214, Probabilidad: 0.000222, Bits: 8
Pixel: 196, Probabilidad: 0.000219, Bits: 8
Pixel: 209, Probabilidad: 0.000219, Bits: 8
Pixel: 230, Probabilidad: 0.000219, Bits: 8
Pixel: 195, Probabilidad: 0.000216, Bits: 8
Pixel: 247, Probabilidad: 0.000216, Bits: 8
Pixel: 220, Probabilidad: 0.000210, Bits: 8
Pixel: 241, Probabilidad: 0.000210, Bits: 8
Pixel: 243, Probabilidad: 0.000210, Bits: 8
Pixel: 206, Probabilidad: 0.000207, Bits: 8
Pixel: 207, Probabilidad: 0.000207, Bits: 8
Pixel: 236, Probabilidad: 0.000207, Bits: 8
Pixel: 242, Probabilidad: 0.000207, Bits: 8
Pixel: 245, Probabilidad: 0.000207, Bits: 8
Pixel: 212, Probabilidad: 0.000201, Bits: 8
Pixel: 231, Probabilidad: 0.000201, Bits: 8
Pixel: 215, Probabilidad: 0.000198, Bits: 8
Pixel: 239, Probabilidad: 0.000198, Bits: 8
Pixel: 205, Probabilidad: 0.000195, Bits: 8
Pixel: 208, Probabilidad: 0.000195, Bits: 8
Pixel: 210, Probabilidad: 0.000195, Bits: 8
Pixel: 223, Probabilidad: 0.000195, Bits: 8
Pixel: 228, Probabilidad: 0.000195, Bits: 8
Pixel: 237, Probabilidad: 0.000195, Bits: 8
Pixel: 229, Probabilidad: 0.000192, Bits: 8
Pixel: 232, Probabilidad: 0.000189, Bits: 8
Pixel: 227, Probabilidad: 0.000183, Bits: 8
Pixel: 221, Probabilidad: 0.000180, Bits: 8
Pixel: 224, Probabilidad: 0.000180, Bits: 8
Pixel: 240, Probabilidad: 0.000180, Bits: 8
Pixel: 218, Probabilidad: 0.000168, Bits: 8
Pixel: 238, Probabilidad: 0.000162, Bits: 8

Después de sumar, las probabilidades ordenadas son:
Pixel: 20, Probabilidad: 0.023387, Bits: 5
Pixel: 21, Probabilidad: 0.023169, Bits: 5
Pixel: 18, Probabilidad: 0.022968, Bits: 5
Pixel: 22, Probabilidad: 0.022383, Bits: 5
Pixel: 19, Probabilidad: 0.022203, Bits: 5
Pixel: 17, Probabilidad: 0.022026, Bits: 5
Pixel: 23, Probabilidad: 0.019822, Bits: 5
Pixel: 16, Probabilidad: 0.019556, Bits: 4
Pixel: 24, Probabilidad: 0.019279, Bits: 5
Pixel: 13, Probabilidad: 0.018009, Bits: 4
Pixel: 14, Probabilidad: 0.017761, Bits: 4
Pixel: 15, Probabilidad: 0.017335, Bits: 4
Pixel: 25, Probabilidad: 0.017241, Bits: 5
Pixel: 10, Probabilidad: 0.017114, Bits: 4
Pixel: 7, Probabilidad: 0.017043, Bits: 3
Pixel: 12, Probabilidad: 0.016609, Bits: 4
Pixel: 9, Probabilidad: 0.016154, Bits: 4
Pixel: 26, Probabilidad: 0.015844, Bits: 5
Pixel: 27, Probabilidad: 0.015740, Bits: 5
Pixel: 8, Probabilidad: 0.015587, Bits: 3
Pixel: 11, Probabilidad: 0.015055, Bits: 4
Pixel: 6, Probabilidad: 0.014638, Bits: 3
Pixel: 28, Probabilidad: 0.014535, Bits: 5
Pixel: 29, Probabilidad: 0.014352, Bits: 5
Pixel: 30, Probabilidad: 0.014065, Bits: 5
Pixel: 32, Probabilidad: 0.013489, Bits: 5
Pixel: 31, Probabilidad: 0.013413, Bits: 5
Pixel: 33, Probabilidad: 0.012825, Bits: 6
Pixel: 34, Probabilidad: 0.012027, Bits: 6
Pixel: 35, Probabilidad: 0.011301, Bits: 6
Pixel: 36, Probabilidad: 0.010935, Bits: 6
Pixel: 38, Probabilidad: 0.010273, Bits: 6
Pixel: 37, Probabilidad: 0.010235, Bits: 6
Pixel: 39, Probabilidad: 0.009470, Bits: 6
Pixel: 40, Probabilidad: 0.009343, Bits: 6
Pixel: 5, Probabilidad: 0.009254, Bits: 3
Pixel: 41, Probabilidad: 0.009142, Bits: 6
Pixel: 42, Probabilidad: 0.009133, Bits: 6
Pixel: 1, Probabilidad: 0.008961, Bits: 0
Pixel: 43, Probabilidad: 0.008834, Bits: 6
Pixel: 44, Probabilidad: 0.008164, Bits: 6
Pixel: 2, Probabilidad: 0.008007, Bits: 1
Pixel: 4, Probabilidad: 0.007966, Bits: 2
Pixel: 45, Probabilidad: 0.007922, Bits: 6
Pixel: 46, Probabilidad: 0.007665, Bits: 6
Pixel: 47, Probabilidad: 0.007426, Bits: 6
Pixel: 48, Probabilidad: 0.007225, Bits: 6
Pixel: 3, Probabilidad: 0.006808, Bits: 2
Pixel: 49, Probabilidad: 0.006761, Bits: 6
Pixel: 50, Probabilidad: 0.006610, Bits: 6
Pixel: 52, Probabilidad: 0.006539, Bits: 6
Pixel: 51, Probabilidad: 0.006531, Bits: 6
Pixel: 55, Probabilidad: 0.006377, Bits: 6
Pixel: 56, Probabilidad: 0.006282, Bits: 6
Pixel: 57, Probabilidad: 0.006232, Bits: 6
Pixel: 53, Probabilidad: 0.006223, Bits: 6
Pixel: 0, Probabilidad: 0.006191, Bits: -Inf
Pixel: 54, Probabilidad: 0.006135, Bits: 6
Pixel: 58, Probabilidad: 0.005943, Bits: 6
Pixel: 59, Probabilidad: 0.005831, Bits: 6
Pixel: 61, Probabilidad: 0.005721, Bits: 6
Pixel: 60, Probabilidad: 0.005656, Bits: 6
Pixel: 65, Probabilidad: 0.005653, Bits: 7
Pixel: 63, Probabilidad: 0.005547, Bits: 6
Pixel: 62, Probabilidad: 0.005458, Bits: 6
Pixel: 64, Probabilidad: 0.005441, Bits: 6
Pixel: 66, Probabilidad: 0.005435, Bits: 7
Pixel: 67, Probabilidad: 0.005290, Bits: 7
Pixel: 68, Probabilidad: 0.005178, Bits: 7
Pixel: 69, Probabilidad: 0.005119, Bits: 7
Pixel: 70, Probabilidad: 0.004998, Bits: 7
Pixel: 71, Probabilidad: 0.004812, Bits: 7
Pixel: 73, Probabilidad: 0.004525, Bits: 7
Pixel: 72, Probabilidad: 0.004493, Bits: 7
Pixel: 79, Probabilidad: 0.004085, Bits: 7
Pixel: 76, Probabilidad: 0.004079, Bits: 7
Pixel: 74, Probabilidad: 0.004005, Bits: 7
Pixel: 77, Probabilidad: 0.004005, Bits: 7
Pixel: 75, Probabilidad: 0.003881, Bits: 7
Pixel: 78, Probabilidad: 0.003840, Bits: 7
Pixel: 81, Probabilidad: 0.003822, Bits: 7
Pixel: 80, Probabilidad: 0.003680, Bits: 7
Pixel: 82, Probabilidad: 0.003592, Bits: 7
Pixel: 84, Probabilidad: 0.003450, Bits: 7
Pixel: 83, Probabilidad: 0.003406, Bits: 7
Pixel: 86, Probabilidad: 0.003332, Bits: 7
Pixel: 88, Probabilidad: 0.003202, Bits: 7
Pixel: 87, Probabilidad: 0.003113, Bits: 7
